step=600000: nr=759,  gr=754, contr1=0, contr2=0, npr=0, c=161, c0=1,cnr=6,cgr=12,cnpr=0,cnrgr=142,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=610000: nr=736,  gr=718, contr1=0, contr2=0, npr=0, c=166, c0=1,cnr=7,cgr=21,cnpr=0,cnrgr=137,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=620000: nr=691,  gr=697, contr1=0, contr2=0, npr=0, c=165, c0=3,cnr=3,cgr=21,cnpr=0,cnrgr=138,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=630000: nr=809,  gr=770, contr1=0, contr2=0, npr=0, c=163, c0=0,cnr=4,cgr=18,cnpr=0,cnrgr=141,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=640000: nr=740,  gr=694, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=4,cgr=20,cnpr=0,cnrgr=140,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=650000: nr=787,  gr=669, contr1=0, contr2=0, npr=0, c=169, c0=1,cnr=11,cgr=18,cnpr=0,cnrgr=139,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=660000: nr=706,  gr=745, contr1=0, contr2=0, npr=0, c=160, c0=3,cnr=5,cgr=22,cnpr=0,cnrgr=130,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=670000: nr=720,  gr=798, contr1=0, contr2=0, npr=0, c=161, c0=0,cnr=1,cgr=25,cnpr=0,cnrgr=135,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=680000: nr=789,  gr=801, contr1=0, contr2=0, npr=0, c=167, c0=5,cnr=3,cgr=22,cnpr=0,cnrgr=137,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=690000: nr=775,  gr=749, contr1=0, contr2=0, npr=0, c=171, c0=2,cnr=2,cgr=20,cnpr=0,cnrgr=147,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=700000: nr=774,  gr=805, contr1=0, contr2=0, npr=0, c=160, c0=0,cnr=6,cgr=14,cnpr=0,cnrgr=140,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=710000: nr=732,  gr=744, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=7,cgr=22,cnpr=0,cnrgr=135,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=720000: nr=708,  gr=745, contr1=0, contr2=0, npr=0, c=162, c0=3,cnr=5,cgr=20,cnpr=0,cnrgr=134,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=730000: nr=751,  gr=785, contr1=0, contr2=0, npr=0, c=159, c0=2,cnr=5,cgr=19,cnpr=0,cnrgr=133,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=740000: nr=681,  gr=731, contr1=0, contr2=0, npr=0, c=165, c0=4,cnr=4,cgr=21,cnpr=0,cnrgr=136,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=750000: nr=763,  gr=661, contr1=0, contr2=0, npr=0, c=166, c0=1,cnr=8,cgr=24,cnpr=0,cnrgr=133,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=760000: nr=750,  gr=686, contr1=0, contr2=0, npr=0, c=162, c0=2,cnr=8,cgr=21,cnpr=0,cnrgr=131,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=770000: nr=702,  gr=581, contr1=0, contr2=0, npr=0, c=159, c0=4,cnr=13,cgr=24,cnpr=0,cnrgr=118,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=780000: nr=736,  gr=669, contr1=0, contr2=0, npr=0, c=166, c0=3,cnr=8,cgr=7,cnpr=0,cnrgr=148,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=790000: nr=716,  gr=728, contr1=0, contr2=0, npr=0, c=164, c0=2,cnr=6,cgr=16,cnpr=0,cnrgr=140,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=800000: nr=699,  gr=808, contr1=0, contr2=0, npr=0, c=162, c0=1,cnr=4,cgr=20,cnpr=0,cnrgr=137,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=810000: nr=706,  gr=802, contr1=0, contr2=0, npr=0, c=170, c0=2,cnr=3,cgr=20,cnpr=0,cnrgr=145,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=820000: nr=675,  gr=784, contr1=0, contr2=0, npr=0, c=167, c0=2,cnr=4,cgr=31,cnpr=0,cnrgr=130,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=830000: nr=700,  gr=748, contr1=0, contr2=0, npr=0, c=165, c0=2,cnr=6,cgr=29,cnpr=0,cnrgr=128,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=840000: nr=658,  gr=788, contr1=0, contr2=0, npr=0, c=164, c0=5,cnr=5,cgr=20,cnpr=0,cnrgr=134,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=850000: nr=721,  gr=870, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=1,cgr=18,cnpr=0,cnrgr=145,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
