step=670000: nr=0,  gr=1136, contr1=0, contr2=0, npr=0, c=168, c0=2,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=680000: nr=0,  gr=1053, contr1=0, contr2=0, npr=0, c=164, c0=1,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=690000: nr=0,  gr=1074, contr1=0, contr2=0, npr=0, c=163, c0=2,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=700000: nr=0,  gr=1046, contr1=0, contr2=0, npr=0, c=169, c0=1,cnr=0,cgr=168,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=710000: nr=0,  gr=1121, contr1=0, contr2=0, npr=0, c=166, c0=1,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=720000: nr=0,  gr=1013, contr1=0, contr2=0, npr=0, c=173, c0=0,cnr=0,cgr=173,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=730000: nr=0,  gr=1004, contr1=0, contr2=0, npr=0, c=162, c0=1,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=740000: nr=0,  gr=1036, contr1=0, contr2=0, npr=0, c=161, c0=0,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=750000: nr=0,  gr=1082, contr1=0, contr2=0, npr=0, c=161, c0=1,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=760000: nr=0,  gr=1006, contr1=0, contr2=0, npr=0, c=162, c0=2,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=770000: nr=0,  gr=1046, contr1=0, contr2=0, npr=0, c=170, c0=3,cnr=0,cgr=167,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=780000: nr=0,  gr=1109, contr1=0, contr2=0, npr=0, c=165, c0=0,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=790000: nr=0,  gr=1128, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=800000: nr=0,  gr=1068, contr1=0, contr2=0, npr=0, c=168, c0=0,cnr=0,cgr=168,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=810000: nr=0,  gr=1106, contr1=0, contr2=0, npr=0, c=163, c0=0,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=820000: nr=0,  gr=993, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=830000: nr=0,  gr=996, contr1=0, contr2=0, npr=0, c=164, c0=2,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=840000: nr=0,  gr=951, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=850000: nr=0,  gr=1010, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=860000: nr=0,  gr=960, contr1=0, contr2=0, npr=0, c=165, c0=3,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=870000: nr=0,  gr=1023, contr1=0, contr2=0, npr=0, c=166, c0=1,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=880000: nr=0,  gr=862, contr1=0, contr2=0, npr=0, c=163, c0=1,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=890000: nr=0,  gr=1004, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=900000: nr=0,  gr=943, contr1=0, contr2=0, npr=0, c=165, c0=0,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=910000: nr=0,  gr=918, contr1=0, contr2=0, npr=0, c=166, c0=2,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=920000: nr=0,  gr=933, contr1=0, contr2=0, npr=0, c=163, c0=2,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=930000: nr=0,  gr=1007, contr1=0, contr2=0, npr=0, c=165, c0=2,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=940000: nr=0,  gr=1004, contr1=0, contr2=0, npr=0, c=161, c0=1,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=950000: nr=0,  gr=1013, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=960000: nr=0,  gr=1076, contr1=0, contr2=0, npr=0, c=168, c0=0,cnr=0,cgr=168,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=970000: nr=0,  gr=1091, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=980000: nr=0,  gr=1055, contr1=0, contr2=0, npr=0, c=165, c0=0,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=990000: nr=0,  gr=1091, contr1=0, contr2=0, npr=0, c=161, c0=1,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1000000: nr=0,  gr=1106, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1010000: nr=0,  gr=1068, contr1=0, contr2=0, npr=0, c=168, c0=1,cnr=0,cgr=167,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1020000: nr=0,  gr=1104, contr1=0, contr2=0, npr=0, c=161, c0=1,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1030000: nr=0,  gr=1070, contr1=0, contr2=0, npr=0, c=158, c0=0,cnr=0,cgr=158,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1040000: nr=0,  gr=1034, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1050000: nr=0,  gr=958, contr1=0, contr2=0, npr=0, c=163, c0=2,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1060000: nr=0,  gr=957, contr1=0, contr2=0, npr=0, c=159, c0=0,cnr=0,cgr=159,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1070000: nr=0,  gr=944, contr1=0, contr2=1, npr=0, c=163, c0=2,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1080000: nr=0,  gr=971, contr1=0, contr2=0, npr=0, c=159, c0=1,cnr=0,cgr=158,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1090000: nr=0,  gr=905, contr1=0, contr2=0, npr=0, c=166, c0=2,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1100000: nr=0,  gr=889, contr1=0, contr2=0, npr=0, c=165, c0=7,cnr=0,cgr=158,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1110000: nr=0,  gr=887, contr1=0, contr2=0, npr=0, c=165, c0=2,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1120000: nr=0,  gr=935, contr1=0, contr2=0, npr=0, c=160, c0=1,cnr=0,cgr=159,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1130000: nr=0,  gr=906, contr1=0, contr2=0, npr=0, c=168, c0=1,cnr=0,cgr=167,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1140000: nr=0,  gr=958, contr1=0, contr2=0, npr=0, c=165, c0=3,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1150000: nr=0,  gr=978, contr1=0, contr2=0, npr=0, c=162, c0=1,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1160000: nr=0,  gr=904, contr1=0, contr2=0, npr=0, c=165, c0=4,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1170000: nr=0,  gr=961, contr1=0, contr2=0, npr=0, c=162, c0=2,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1180000: nr=0,  gr=943, contr1=0, contr2=0, npr=0, c=163, c0=4,cnr=0,cgr=159,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1190000: nr=0,  gr=852, contr1=0, contr2=0, npr=0, c=163, c0=3,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1200000: nr=0,  gr=936, contr1=0, contr2=0, npr=0, c=161, c0=3,cnr=0,cgr=158,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1210000: nr=0,  gr=1036, contr1=0, contr2=1, npr=0, c=162, c0=1,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
