----- step=530000: nr=1328 (916), hr=7 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9739 (2027)  (tn=80640, r=3839)
----- step=540000: nr=1316 (972), hr=9 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9655 (2188)  (tn=80640, r=4030)
----- step=550000: nr=1397 (974), hr=16 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9574 (2092)  (tn=80640, r=4249)
----- step=560000: nr=1323 (949), hr=14 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9645 (2099)  (tn=80640, r=4261)
----- step=570000: nr=1376 (1045), hr=13 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9394 (2295)  (tn=80640, r=4156)
----- step=580000: nr=1380 (997), hr=14 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9498 (2157)  (tn=80640, r=4010)
----- step=590000: nr=1332 (1010), hr=13 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9455 (2282)  (tn=80640, r=3777)
----- step=600000: nr=1349 (1003), hr=14 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9449 (2192)  (tn=80640, r=3921)
----- step=610000: nr=1299 (963), hr=14 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9523 (2190)  (tn=80640, r=3700)
----- step=620000: nr=1339 (895), hr=16 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9641 (2033)  (tn=80640, r=3322)
----- step=630000: nr=1352 (991), hr=13 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9556 (2223)  (tn=80640, r=3558)
----- step=640000: nr=1352 (970), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9578 (2142)  (tn=80640, r=3771)
----- step=650000: nr=1284 (921), hr=11 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9680 (2085)  (tn=80640, r=3939)
----- step=660000: nr=1347 (991), hr=8 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9508 (2220)  (tn=80640, r=3866)
----- step=670000: nr=1348 (981), hr=6 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9502 (2236)  (tn=80640, r=4015)
----- step=680000: nr=1348 (1038), hr=13 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9509 (2334)  (tn=80640, r=4176)
----- step=690000: nr=1309 (1022), hr=8 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9408 (2289)  (tn=80640, r=4355)
----- step=700000: nr=1340 (1035), hr=6 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9328 (2302)  (tn=80640, r=4597)
----- step=710000: nr=1333 (1067), hr=7 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9420 (2366)  (tn=80640, r=4591)
----- step=720000: nr=1322 (1010), hr=6 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9328 (2296)  (tn=80640, r=4473)
----- step=730000: nr=1361 (1006), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9397 (2214)  (tn=80640, r=3922)
----- step=740000: nr=1411 (1072), hr=8 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9351 (2271)  (tn=80640, r=4225)
----- step=750000: nr=1360 (1034), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9364 (2262)  (tn=80640, r=4137)
----- step=760000: nr=1359 (1034), hr=10 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9351 (2329)  (tn=80640, r=4271)
----- step=770000: nr=1318 (1022), hr=12 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9318 (2326)  (tn=80640, r=4166)
----- step=780000: nr=1333 (1038), hr=17 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9276 (2421)  (tn=80640, r=4138)
----- step=790000: nr=1264 (1006), hr=19 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9234 (2318)  (tn=80640, r=4288)
----- step=800000: nr=1277 (1061), hr=20 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9368 (2396)  (tn=80640, r=4452)
----- step=810000: nr=1306 (1042), hr=12 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9347 (2406)  (tn=80640, r=4083)
----- step=820000: nr=1303 (1045), hr=5 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9356 (2349)  (tn=80640, r=4064)
----- step=830000: nr=1307 (1037), hr=6 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9278 (2353)  (tn=80640, r=4399)
----- step=840000: nr=1305 (972), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9424 (2285)  (tn=80640, r=3991)
----- step=850000: nr=1280 (1040), hr=6 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9425 (2383)  (tn=80640, r=4041)
----- step=860000: nr=1249 (1017), hr=9 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9495 (2310)  (tn=80640, r=3886)
----- step=870000: nr=1333 (1121), hr=13 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9355 (2420)  (tn=80640, r=4342)
----- step=880000: nr=1300 (1084), hr=13 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9383 (2400)  (tn=80640, r=4558)
----- step=890000: nr=1346 (1060), hr=13 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9400 (2392)  (tn=80640, r=4206)
----- step=900000: nr=1280 (1007), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9438 (2256)  (tn=80640, r=4157)
----- step=910000: nr=1278 (1050), hr=12 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9464 (2331)  (tn=80640, r=4463)
----- step=920000: nr=1284 (1015), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9465 (2243)  (tn=80640, r=4077)
----- step=930000: nr=1314 (1036), hr=14 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9359 (2358)  (tn=80640, r=4201)
