----- step=1140000: nr=1321 (956), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8672 (2199)  (tn=80640, r=2993)
----- step=1150000: nr=1363 (1044), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8621 (2251)  (tn=80640, r=3102)
----- step=1160000: nr=1295 (964), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8796 (2127)  (tn=80640, r=3128)
----- step=1170000: nr=1326 (967), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8778 (2162)  (tn=80640, r=3229)
----- step=1180000: nr=1359 (1001), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8765 (2173)  (tn=80640, r=3289)
----- step=1190000: nr=1364 (1006), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8741 (2249)  (tn=80640, r=3127)
----- step=1200000: nr=1352 (1025), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8744 (2214)  (tn=80640, r=3192)
----- step=1210000: nr=1248 (965), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8648 (2108)  (tn=80640, r=3469)
----- step=1220000: nr=1218 (987), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8690 (2148)  (tn=80640, r=3859)
----- step=1230000: nr=1298 (1012), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8545 (2152)  (tn=80640, r=3783)
----- step=1240000: nr=1316 (1029), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8661 (2223)  (tn=80640, r=3566)
----- step=1250000: nr=1294 (972), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8695 (2199)  (tn=80640, r=3032)
----- step=1260000: nr=1297 (949), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8679 (2115)  (tn=80640, r=3412)
----- step=1270000: nr=1246 (955), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8658 (2069)  (tn=80640, r=3544)
----- step=1280000: nr=1315 (1028), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8623 (2206)  (tn=80640, r=3455)
----- step=1290000: nr=1213 (994), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8612 (2174)  (tn=80640, r=3825)
----- step=1300000: nr=1230 (976), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8667 (2148)  (tn=80640, r=3534)
----- step=1310000: nr=1229 (1001), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8664 (2228)  (tn=80640, r=3770)
----- step=1320000: nr=1240 (992), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8676 (2173)  (tn=80640, r=3730)
----- step=1330000: nr=1247 (969), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8737 (2119)  (tn=80640, r=3733)
----- step=1340000: nr=1232 (976), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8737 (2170)  (tn=80640, r=3554)
----- step=1350000: nr=1208 (965), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8706 (2152)  (tn=80640, r=3819)
----- step=1360000: nr=1221 (930), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8663 (2129)  (tn=80640, r=3739)
----- step=1370000: nr=1229 (970), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8679 (2179)  (tn=80640, r=3756)
----- step=1380000: nr=1206 (937), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8617 (2070)  (tn=80640, r=3741)
----- step=1390000: nr=1176 (937), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8657 (2102)  (tn=80640, r=3868)
----- step=1400000: nr=1166 (943), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8766 (2105)  (tn=80640, r=3507)
----- step=1410000: nr=1169 (896), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8811 (2040)  (tn=80640, r=3597)
----- step=1420000: nr=1280 (985), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8707 (2212)  (tn=80640, r=3348)
----- step=1430000: nr=1326 (1001), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8692 (2240)  (tn=80640, r=3300)
----- step=1440000: nr=1251 (995), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8742 (2203)  (tn=80640, r=3256)
