----- step=480000: nr=321 (20), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11136 (52)  (tn=80640, r=6755)
----- step=490000: nr=372 (17), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11259 (38)  (tn=80640, r=6988)
----- step=500000: nr=389 (35), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11335 (76)  (tn=80640, r=7088)
----- step=510000: nr=430 (73), hr=6 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11299 (170)  (tn=80640, r=7116)
----- step=520000: nr=495 (108), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11449 (236)  (tn=80640, r=6514)
----- step=530000: nr=544 (99), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11345 (231)  (tn=80640, r=6156)
----- step=540000: nr=567 (125), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11444 (276)  (tn=80640, r=5639)
----- step=550000: nr=594 (189), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11274 (431)  (tn=80640, r=5260)
----- step=560000: nr=689 (202), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11174 (484)  (tn=80640, r=5317)
----- step=570000: nr=753 (300), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10928 (616)  (tn=80640, r=4999)
----- step=580000: nr=780 (343), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10873 (777)  (tn=80640, r=4913)
----- step=590000: nr=910 (351), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10807 (833)  (tn=80640, r=4691)
----- step=600000: nr=917 (437), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10634 (976)  (tn=80640, r=4410)
----- step=610000: nr=1021 (466), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10375 (1042)  (tn=80640, r=4354)
----- step=620000: nr=1004 (490), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10332 (1118)  (tn=80640, r=3834)
----- step=630000: nr=1008 (514), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10199 (1191)  (tn=80640, r=3999)
----- step=640000: nr=1054 (532), hr=4 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10083 (1191)  (tn=80640, r=4151)
----- step=650000: nr=1097 (605), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10221 (1358)  (tn=80640, r=4298)
----- step=660000: nr=1148 (677), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10033 (1483)  (tn=80640, r=4441)
----- step=670000: nr=1083 (686), hr=5 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10059 (1568)  (tn=80640, r=4431)
----- step=680000: nr=1078 (741), hr=4 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10126 (1640)  (tn=80640, r=4368)
----- step=690000: nr=1231 (877), hr=8 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9898 (1933)  (tn=80640, r=4559)
----- step=700000: nr=1279 (884), hr=9 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9878 (1987)  (tn=80640, r=4507)
----- step=710000: nr=1324 (894), hr=11 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9703 (2037)  (tn=80640, r=4019)
----- step=720000: nr=1358 (929), hr=9 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9606 (2106)  (tn=80640, r=3973)
----- step=730000: nr=1294 (912), hr=15 (11), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9621 (2162)  (tn=80640, r=3575)
----- step=740000: nr=1303 (906), hr=18 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9636 (2057)  (tn=80640, r=3774)
----- step=750000: nr=1326 (939), hr=18 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9639 (2178)  (tn=80640, r=3624)
----- step=760000: nr=1314 (925), hr=19 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9640 (2121)  (tn=80640, r=3548)
----- step=770000: nr=1320 (977), hr=11 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9620 (2233)  (tn=80640, r=3548)
----- step=780000: nr=1271 (962), hr=8 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9627 (2188)  (tn=80640, r=3638)
----- step=790000: nr=1332 (998), hr=14 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9598 (2276)  (tn=80640, r=3695)
----- step=800000: nr=1252 (967), hr=11 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9568 (2211)  (tn=80640, r=4290)
----- step=810000: nr=1316 (960), hr=10 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9538 (2199)  (tn=80640, r=4121)
----- step=820000: nr=1272 (1022), hr=10 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9419 (2270)  (tn=80640, r=4188)
----- step=830000: nr=1339 (1003), hr=11 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9503 (2241)  (tn=80640, r=3750)
----- step=840000: nr=1323 (989), hr=11 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9565 (2237)  (tn=80640, r=3777)
----- step=850000: nr=1326 (936), hr=13 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9646 (2207)  (tn=80640, r=3772)
----- step=860000: nr=1339 (979), hr=13 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9659 (2196)  (tn=80640, r=3699)
----- step=870000: nr=1321 (1042), hr=12 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9527 (2321)  (tn=80640, r=3668)
----- step=880000: nr=1277 (959), hr=15 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9635 (2225)  (tn=80640, r=3356)
----- step=890000: nr=1318 (1003), hr=16 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9558 (2265)  (tn=80640, r=3874)
----- step=900000: nr=1345 (974), hr=23 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9571 (2260)  (tn=80640, r=3649)
----- step=910000: nr=1276 (989), hr=14 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9641 (2256)  (tn=80640, r=3580)
----- step=920000: nr=1256 (1007), hr=11 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9639 (2244)  (tn=80640, r=4036)
----- step=930000: nr=1244 (952), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9671 (2172)  (tn=80640, r=3991)
----- step=940000: nr=1233 (992), hr=10 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9527 (2271)  (tn=80640, r=4435)
----- step=950000: nr=1115 (935), hr=11 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9567 (2159)  (tn=80640, r=4886)
----- step=960000: nr=1243 (1018), hr=10 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9569 (2277)  (tn=80640, r=4935)
----- step=970000: nr=1127 (930), hr=11 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9662 (2122)  (tn=80640, r=4959)
----- step=980000: nr=1218 (979), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9701 (2220)  (tn=80640, r=4816)
----- step=990000: nr=1202 (1000), hr=10 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9513 (2194)  (tn=80640, r=4927)
----- step=1000000: nr=1221 (991), hr=18 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9630 (2224)  (tn=80640, r=5067)
----- step=1010000: nr=1254 (1039), hr=18 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9458 (2365)  (tn=80640, r=5006)
----- step=1020000: nr=1196 (997), hr=19 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9523 (2299)  (tn=80640, r=5288)
----- step=1030000: nr=1285 (1021), hr=22 (13), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9539 (2301)  (tn=80640, r=4901)
----- step=1040000: nr=1279 (1027), hr=21 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9489 (2294)  (tn=80640, r=4998)
----- step=1050000: nr=1242 (1013), hr=26 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9576 (2362)  (tn=80640, r=4605)
----- step=1060000: nr=1282 (1041), hr=12 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9493 (2374)  (tn=80640, r=4869)
----- step=1070000: nr=1255 (1048), hr=14 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9536 (2336)  (tn=80640, r=4759)
----- step=1080000: nr=1218 (970), hr=11 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9598 (2213)  (tn=80640, r=4769)
----- step=1090000: nr=1251 (995), hr=15 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9565 (2268)  (tn=80640, r=4562)
----- step=1100000: nr=1220 (968), hr=15 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9573 (2202)  (tn=80640, r=4627)
----- step=1110000: nr=1263 (1002), hr=17 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9520 (2202)  (tn=80640, r=4592)
----- step=1120000: nr=1287 (957), hr=19 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9565 (2208)  (tn=80640, r=4563)
----- step=1130000: nr=1255 (927), hr=12 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9566 (2145)  (tn=80640, r=4534)
----- step=1140000: nr=1265 (951), hr=14 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9565 (2171)  (tn=80640, r=4336)
----- step=1150000: nr=1279 (900), hr=8 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9720 (2073)  (tn=80640, r=4266)
----- step=1160000: nr=1237 (955), hr=5 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9616 (2170)  (tn=80640, r=4428)
----- step=1170000: nr=1224 (934), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9678 (2102)  (tn=80640, r=4706)
----- step=1180000: nr=1143 (913), hr=14 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9741 (2121)  (tn=80640, r=4654)
----- step=1190000: nr=1226 (972), hr=15 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9590 (2164)  (tn=80640, r=4640)
