step=860000: nr=1394 (1079), hr=13 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9072 (2389)  (tn=80640, r=4961)
step=870000: nr=1261 (979), hr=12 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9149 (2300)  (tn=80640, r=5115)
step=880000: nr=1368 (1051), hr=13 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9057 (2460)  (tn=80640, r=5244)
step=890000: nr=1417 (1039), hr=12 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9083 (2297)  (tn=80640, r=4897)
step=900000: nr=1422 (982), hr=19 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9101 (2252)  (tn=80640, r=4446)
step=910000: nr=1368 (1066), hr=13 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9149 (2418)  (tn=80640, r=4498)
step=920000: nr=1342 (1034), hr=15 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9129 (2437)  (tn=80640, r=4617)
step=930000: nr=1414 (1075), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9028 (2402)  (tn=80640, r=4851)
step=940000: nr=1391 (1063), hr=18 (12), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9079 (2416)  (tn=80640, r=4831)
step=950000: nr=1414 (1063), hr=21 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9113 (2380)  (tn=80640, r=4863)
step=960000: nr=1338 (965), hr=15 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9158 (2238)  (tn=80640, r=4729)
step=970000: nr=1382 (974), hr=16 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9194 (2237)  (tn=80640, r=5028)
step=980000: nr=1432 (1019), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9191 (2238)  (tn=80640, r=4805)
step=990000: nr=1414 (967), hr=10 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9189 (2202)  (tn=80640, r=4679)
step=1000000: nr=1448 (1089), hr=12 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9136 (2348)  (tn=80640, r=4557)
step=1010000: nr=1388 (1072), hr=13 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9028 (2387)  (tn=80640, r=4913)
step=1020000: nr=1329 (1057), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9080 (2337)  (tn=80640, r=5144)
step=1030000: nr=1354 (1041), hr=15 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9094 (2388)  (tn=80640, r=4597)
step=1040000: nr=1407 (1086), hr=8 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9097 (2480)  (tn=80640, r=4385)
step=1050000: nr=1425 (1075), hr=14 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9074 (2468)  (tn=80640, r=4460)
step=1060000: nr=1437 (1071), hr=15 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9129 (2377)  (tn=80640, r=4474)
step=1070000: nr=1464 (1019), hr=15 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9042 (2308)  (tn=80640, r=4472)
step=1080000: nr=1396 (998), hr=11 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9167 (2303)  (tn=80640, r=4234)
step=1090000: nr=1490 (1033), hr=14 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9136 (2293)  (tn=80640, r=4196)
step=1100000: nr=1515 (1047), hr=19 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9070 (2306)  (tn=80640, r=3690)
step=1110000: nr=1451 (1008), hr=14 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9276 (2322)  (tn=80640, r=3445)
step=1120000: nr=1378 (971), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9326 (2254)  (tn=80640, r=3702)
step=1130000: nr=1385 (1027), hr=16 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9309 (2339)  (tn=80640, r=4266)
step=1140000: nr=1429 (1079), hr=19 (14), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9179 (2365)  (tn=80640, r=4456)
step=1150000: nr=1456 (1035), hr=16 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9237 (2292)  (tn=80640, r=4563)
step=1160000: nr=1520 (1041), hr=18 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9205 (2305)  (tn=80640, r=4431)
step=1170000: nr=1525 (1065), hr=17 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9158 (2388)  (tn=80640, r=4304)
step=1180000: nr=1450 (1036), hr=17 (11), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9106 (2311)  (tn=80640, r=4134)
step=1190000: nr=1370 (908), hr=16 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9199 (2116)  (tn=80640, r=4205)
step=1200000: nr=1469 (906), hr=16 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9265 (2058)  (tn=80640, r=3900)
step=1210000: nr=1479 (903), hr=13 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9302 (2078)  (tn=80640, r=3749)
step=1220000: nr=1437 (956), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9392 (2138)  (tn=80640, r=3553)
step=1230000: nr=1487 (982), hr=11 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9413 (2233)  (tn=80640, r=3503)
step=1240000: nr=1545 (1041), hr=9 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9347 (2319)  (tn=80640, r=3672)
step=1250000: nr=1397 (901), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9303 (2036)  (tn=80640, r=4174)
step=1260000: nr=1412 (962), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9446 (2152)  (tn=80640, r=4034)
step=1270000: nr=1393 (959), hr=6 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9359 (2191)  (tn=80640, r=4180)
step=1280000: nr=1469 (1003), hr=9 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9253 (2242)  (tn=80640, r=4232)
step=1290000: nr=1416 (1015), hr=16 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9338 (2259)  (tn=80640, r=3945)
step=1300000: nr=1437 (1064), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9175 (2361)  (tn=80640, r=4044)
