step=620000: nr=1405 (979), hr=19 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9345 (2210)  (tn=80640, r=4393)
step=630000: nr=1380 (933), hr=15 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9383 (2154)  (tn=80640, r=4073)
step=640000: nr=1373 (1002), hr=22 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9437 (2229)  (tn=80640, r=4063)
step=650000: nr=1377 (1046), hr=26 (13), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9293 (2362)  (tn=80640, r=3962)
step=660000: nr=1358 (1016), hr=20 (13), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9401 (2329)  (tn=80640, r=3915)
step=670000: nr=1313 (1015), hr=13 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9365 (2335)  (tn=80640, r=4328)
step=680000: nr=1402 (1050), hr=26 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9298 (2369)  (tn=80640, r=4102)
step=690000: nr=1385 (1022), hr=17 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9370 (2340)  (tn=80640, r=4187)
step=700000: nr=1331 (1044), hr=16 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9310 (2385)  (tn=80640, r=4430)
step=710000: nr=1389 (1102), hr=10 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9244 (2386)  (tn=80640, r=5023)
step=720000: nr=1315 (1002), hr=13 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9329 (2262)  (tn=80640, r=4675)
step=730000: nr=1399 (1041), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9363 (2336)  (tn=80640, r=4463)
step=740000: nr=1436 (1099), hr=7 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9259 (2410)  (tn=80640, r=4322)
step=750000: nr=1387 (1042), hr=9 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9273 (2316)  (tn=80640, r=4371)
step=760000: nr=1399 (1045), hr=13 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9232 (2317)  (tn=80640, r=4371)
step=770000: nr=1329 (1011), hr=17 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9295 (2286)  (tn=80640, r=4223)
step=780000: nr=1297 (1032), hr=15 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9359 (2344)  (tn=80640, r=4323)
step=790000: nr=1420 (1082), hr=14 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9376 (2384)  (tn=80640, r=3892)
step=800000: nr=1366 (1031), hr=13 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9434 (2292)  (tn=80640, r=3981)
step=810000: nr=1421 (1056), hr=13 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9401 (2323)  (tn=80640, r=4234)
step=820000: nr=1351 (955), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9452 (2113)  (tn=80640, r=4098)
step=830000: nr=1383 (963), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9555 (2193)  (tn=80640, r=3611)
step=840000: nr=1400 (1044), hr=10 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9557 (2295)  (tn=80640, r=3991)
step=850000: nr=1357 (976), hr=22 (12), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9412 (2242)  (tn=80640, r=4471)
step=860000: nr=1396 (1000), hr=16 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9369 (2259)  (tn=80640, r=4452)
step=870000: nr=1306 (994), hr=13 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9377 (2275)  (tn=80640, r=4508)
step=880000: nr=1339 (993), hr=15 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9444 (2298)  (tn=80640, r=4573)
step=890000: nr=1309 (980), hr=13 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9351 (2207)  (tn=80640, r=4541)
step=900000: nr=1388 (1063), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9368 (2339)  (tn=80640, r=4379)
step=910000: nr=1397 (1082), hr=11 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9323 (2387)  (tn=80640, r=3996)
